year,category,institute_id,name,city,state,tlr,rpc,go,oi,pr,score,rank,pdf_url,graph_url
2016,Overall,IR17-I-2-18607,Calicut University,Calicut,Kerala,50.3,8.81,72.68,57.08,4.74,38.45,93,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-2-18607.pdf,
2016,Overall,IR17-I-2-1-448,Mizoram University,Aizwal,Mizoram,52.31,5.27,70.52,69.93,0.03,38.36,94,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-2-1-448.pdf,
2016,Overall,IR17-I-2-1-373,Kurukshetra University,Kurushetra,Haryana,43.43,13.44,79.64,50.37,2.33,38.26,95,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-2-1-373.pdf,
2016,Overall,IR17-I-2-10933,Shiv Nadar University,Chithera,Uttar Pradesh,59.15,9.43,47.7,73.23,5.24,37.95,96,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-2-10933.pdf,
2016,Overall,IR17-I-2-21078,Symbiosis International University,Pune,Maharashtra,44.8,8.92,60.44,80.33,14.31,37.67,97,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-2-21078.pdf,
2016,Overall,IR17-I-2-18634,"Indian Institute of Science Education & Research, Bhopal",Bhopal,Madhya Pradesh,46.13,18.21,53.21,70.78,3.0,37.32,98,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-2-18634.pdf,
2016,Overall,IR17-I-1-18710,Rajiv Gandhi Indian Institute of Management,Shillong,Meghalaya,61.42,1.89,60.0,62.21,0.57,37.28,99,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-1-18710.pdf,
2016,Overall,IR17-I-2-1-N002,KLE Academy of Higher Education and Research,Belagavi,Karnataka,64.13,4.9,49.61,65.54,0.69,37.25,100,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-I-2-1-N002.pdf,
2016,College,IR17-COLL-1-29115,Miranda House,Delhi,Delhi,75.76,27.44,90.06,96.45,41.82,69.39,1,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-29115.pdf,
2016,College,IR17-COLL-2-959129,Loyola College,District Chennai,Tamil Nadu,66.92,100.0,48.42,56.45,80.45,68.68,2,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-959129.pdf,
2016,College,IR17-COLL-2-29134,Shri Ram College of Commerce,Delhi,Delhi,77.63,0.2,97.51,93.8,53.98,67.18,3,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-29134.pdf,
2016,College,IR17-COLL-1-19387,Bishop Heber College,District Tiruchirapalli,Tamil Nadu,76.62,53.99,61.28,68.11,18.63,61.18,4,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-1-19387.pdf,
2016,College,IR17-COLL-2-21799,Atma Ram Sanatan Dharma College,New Delhi,Delhi,74.22,30.54,79.6,82.51,0.21,60.68,5,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-21799.pdf,
2016,College,IR17-COLL-2-20078,St. Xavier`s College,Kolkata,West Bengal,64.23,36.86,74.17,56.32,54.92,59.12,6,https://nirfcdn.azureedge.net/rankingpdf2017/IR17-COLL-2-20078.pdf,
