year,institute_id,name,openalex_id,publications_3y,citations_3y,source
2021,IR-E-C-25622,Chaitanya Bharathi Institute of Technology,I134892692,467,4334,openalex
2021,IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,I4405263215,7,55,openalex
2021,IR-E-S-8898,"National Institute of Food Technology, Entrepreneurship & Management",I342702707,175,9134,openalex
2021,IR-E-U-0938,Dr. Vishwanath Karad MIT World Peace University,I4210088227,215,1594,openalex
2021,IR-E-U-0146,Nirma University,I165831266,1081,23880,openalex
2021,IR-E-U-0592,Maulana Abul Kalam Azad University of Technology,I99601430,603,10061,openalex
2021,IR-E-U-0615,National Institute of Technology Arunachal Pradesh,I57496824,283,3658,openalex
2021,IR-E-U-0685,Indira Gandhi Delhi Technical University for Women,I4210143260,447,6313,openalex
2021,IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,I63568130,625,16625,openalex
2021,IR-E-U-0443,Annamalai University,I197081775,3329,39102,openalex
2021,IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,I98210582,229,5125,openalex
2021,IR-E-C-6192,Institute of Engineering & Management,I864998749,466,19480,openalex
