year,category,band,institute_id,name,city,state
2016,Engineering,,,Atria Institute of Technology,Bengaluru,Karnataka
2016,Engineering,,,AU College of Engineering (Autonomous),Visakhapatnam,Andhra Pradesh
2016,Engineering,,,Audisankara College of Engineering & Technology,Gudur,Andhra Pradesh
2016,Engineering,,,Audisankara Institute of Technology,Gudur,Andhra Pradesh
2016,Engineering,,,Aurora's Engineering College,Bhongir,Telangana
2016,Engineering,,,Aurora's Research & Technological Institute,Warangal,Telangana
2016,Engineering,,,Aurora's Scientific & Technological Institute,Hyderabad,Telangana
2016,Engineering,,,"Aurora's Scientific, Technological&Research Academy",Hyderabad,Telangana
2016,Engineering,,,Aurora's Technological and Research Instiute,Hyderabad,Telangana
2016,Engineering,,,Avr&Svr College of Engineering & Technooogy,Nandyal,Andhra Pradesh
2016,Engineering,,,Awh Engineering College,Kozhikode,Kerala
2016,Engineering,,,B V C College of Engineering,Rajahmundry,Andhra Pradesh
2016,Engineering,,,B V V Sangha's Basaveshwar Engineering College Bagalkot,Bagalkot,Karnataka
2016,Engineering,,,B. P. Poddar Institute of Management & Technology,Kolkata,West Bengal
2016,Engineering,,,B.G.S Institute of Technology,Mandya,Karnataka
2016,Engineering,,,"B.L.D.E.A's V.P Dr P.G.Halakatti College of Engg. & Tech., Bijapur-03",Bijapur,Karnataka
2016,Engineering,,,B.M.S. College of Engineering,Bengaluru,Karnataka
2016,Engineering,,,B.S. Abdur Rahman Institute of Science and Technology,Chennai,Tamil Nadu
2016,Engineering,,,Babaria Institute of Technology,Vadodara,Gujarat
2016,Engineering,,,Balaji Institute of Engineering and Management Studies,Nellore,Andhra Pradesh
2016,Engineering,,,Balaji Institute of Technology and Science,Proddatur,Andhra Pradesh
2016,Engineering,,,Ballari Institute of Technology & Management,Bellary,Karnataka
2016,Engineering,,,Ballarpur Institute of Technology,Chandrapur,Maharashtra
2016,Engineering,,,Banasthali Vidyapith,Banasthali,Rajasthan
2016,Engineering,,,Bannari Amman Institute of Technology,Sathyamangalam,Tamil Nadu
2016,Engineering,,,Bapatla Engineering College,Bapatla,Andhra Pradesh
2016,Engineering,,,Bapatla Women's Engineering College,Bapatla,Andhra Pradesh
2016,Engineering,,,Bapuji Institute of Engineering & Technology,Davangere,Karnataka
2016,Engineering,,,Basavakalyan Engineering College,Basavakalyan,Karnataka
2016,Engineering,,,Baselios Mathews Ii College of Engineering,Kollam,Kerala
2016,Engineering,,,"Beant College of Engineering & Technology,Gurdaspur",Gurdaspur,Punjab
2016,Engineering,,,Believers Church Caarmel Engineering College,Pathanamthitta,Kerala
2016,Engineering,,,Bengal College of Engineering & Technology,Durgapur,West Bengal
2016,Engineering,,,Bengal Institute of Technology,Kolkata,West Bengal
2016,Engineering,,,"Bhagalpur College of Engineering , Bhagalpur",Bhagalpur,Bihar
2016,Engineering,,,Bhagwan Mahavir College of Engineering and Technology,Surat,Gujarat
2016,Engineering,,,Bhagwan Parshuram Institute of Technology,Delhi,Delhi
2016,Engineering,,,Bhagwant University-Ajmer,Ajmer,Rajasthan
2016,Engineering,,,Bharathiyar Institute of Engineering for Women,Deviyakurichi,Tamil Nadu
2016,Engineering,,,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Navi Mumbai,Maharashtra
2016,Engineering,,,Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra
2016,Engineering,,,Bharati Vidyapeeth 's College of Engineering for Women,Pune,Maharashtra
2016,Engineering,,,Bharati Vidyapeeth's College of Engineering,New Delhi,Delhi
2016,Engineering,,,Bharatiya Vidya Bhavans Sardar Patel Institute of Technology,Mumbai,Maharashtra
2016,Engineering,,,Bheema Institute of Technology and Science,Adoni,Andhra Pradesh
2016,Engineering,,,Bheemanna Khandre Institute of Technology,Bhalki,Karnataka
2016,Engineering,,,Bhilai Institute of Technology,Durg,Chhattisgarh
2016,Engineering,,,"Bhilai Institute of Technology,Raipur.",Raipur,Chhattisgarh
2016,Engineering,,,BHUBANESWAR COLLEGE OF ENGINEERING,Damanabhuin,Odisha
2016,Engineering,,,"BILURU GURUBASAVA MAHASWAMIJI INISTITURE OF TECHNOLOGY, MUDHOL",Mudhol,Karnataka
2016,Engineering,,,Birla Institute of Technology,Ranchi,Jharkhand
2016,Engineering,,,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan
2016,Engineering,,,Birla Vishvakarma Mahavidyalaya,Vallabh Vidyanagar,Gujarat
2016,Engineering,,,Bit Institute of Technology,Hindupur,Andhra Pradesh
2016,Engineering,,,BMS Institute of Technology & Management,Bengaluru,Karnataka
2016,Engineering,,,BNM Institute of Technology,Bengaluru,Karnataka
2016,Engineering,,,Bonam Venkata Chalamayya Engineering College,Odalarevu,Andhra Pradesh
2016,Engineering,,,Bonam Venkatachalamayya Institute of Technology & Science,Batlapalem,Andhra Pradesh
2016,Engineering,,,Brahmaiah College of Engineering,Nellore,Andhra Pradesh
2016,Engineering,,,Brahmdevdada Mane Institute of Technology,Belati,Maharashtra
2016,Engineering,,,Brcm College of Engineering & Technology,Bahal,Haryana
2016,Engineering,,,Brindavan Institute of Technology and Science,Kurnool,Andhra Pradesh
2016,Engineering,,,Bundelkhand Institute of Engineering & Technology,Jhansi,Uttar Pradesh
2016,Engineering,,,BVRIT HYDERABAD,Hyderabad,Telangana
2016,Engineering,,,C. U. Shah University,Wadhwan City,Gujarat
2016,Engineering,,,C.A.R.E. Group of Institutions,Trichy,Tamil Nadu
2016,Engineering,,,C.Abdul Hakeem College of Engineering & Technology,Melvisharam,Tamil Nadu
2016,Engineering,,,C.D. Jain College of Commerce,Dist. Ahmadnagar,Maharashtra
2016,Engineering,,,C.K.Pithawala College of Engg & Technology,Surat,Gujarat
2016,Engineering,,,C.V. Raman College of Engineering,Bhubneshwar,Odisha
2016,Engineering,,,Cambridge Institute of Technology,Ranchi,Jharkhand
2016,Engineering,,,Cambridge Institute of Technology,Bengaluru,Karnataka
2016,Engineering,,,Canara Engineering College,Mangalore,Karnataka
2016,Engineering,,,Career Point University,Hamirpur,Himachal Pradesh
2016,Engineering,,,Cauvery College of Engineering and Technology,Tiruchirappalli,Tamil Nadu
2016,Engineering,,,Central College of Engineering and Management,Raipur,Chhattisgarh
2016,Engineering,,,Central Institute of Plastics Engineering & Technology Lucknow,Lucknow,Uttar Pradesh
2016,Engineering,,,Centurion Institute of Technology,Jatni,Odisha
2016,Engineering,,,Ch. Devi Lal Memorial Government Engg. College,Sirsa,Haryana
2016,Engineering,,,Chadalawada Ramanamma Engineering College,Tirupati,Andhra Pradesh
2016,Engineering,,,Chaitanya Bharathi Institute of Technology,Prodddatur,Andhra Pradesh
2016,Engineering,,,Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana
2016,Engineering,,,Chaitanya Institute of Technology & Science,Hanmakonda,Telangana
2016,Engineering,,,Chalapathi Institute of Engineering and Technology,Guntur,Andhra Pradesh
2016,Engineering,,,Chebrolu Engineering College,Chebrolu,Andhra Pradesh
2016,Engineering,,,Chendhuran College of Engineering & Technology,Pudukkottai,Tamil Nadu
2016,Engineering,,,Chennai Institute of Technology,Chennai,Tamil Nadu
2016,Engineering,,,Chettinad College of Engineering & Technology,Karur,Tamil Nadu
2016,Engineering,,,Chhotubhai Gopalbhai Patel Institute of Technology,Bardoli,Gujarat
2016,Engineering,,,Chiranjeevi Reddy Institute of Engineering and Technology,Anantapur,Andhra Pradesh
2016,Engineering,,,Chitkara  University,Rajpura,Punjab
2016,Engineering,,,Christ College of Engineering and Technology,Pondicherry,Pondicherry
2016,Engineering,,,Cochin University of Science and Technology,Cochin,Kerala
2016,Engineering,,,Coimbatore Institute of Engineering and Technology,Coimbatore,Tamil Nadu
2016,Engineering,,,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu
2016,Engineering,,,College of Engineering,Manjari (Bk),Maharashtra
2016,Engineering,,,College of Engineering  Kallooppara,Thiruvalla,Kerala
2016,Engineering,,,College of Engineering & Technology,Akola,Maharashtra
2016,Engineering,,,"COLLEGE OF ENGINEERING & TECHNOLOGY, NORTH MAHARASHTRA KNOWLEDGE CITY, JALGAON",Bambhori,Maharashtra
2016,Engineering,,,COLLEGE OF ENGINEERING & TECHNOLOGY-PAYYANUR,Payyanoor,Kerala
2016,Engineering,,,College of Engineering and Management,Dist. Purba Medinipur,West Bengal
2016,Engineering,,,College of Engineering and Technology Bikaner,Bikaner,Rajasthan
2016,Engineering,,,College of Engineering Chengannur,Chengannur,Kerala
2016,Engineering,,,College of Engineering Munnar,Munnar,Kerala
2016,Engineering,,,College of Engineering Perumon,Kollam,Kerala
2016,Engineering,,,College of Engineering Trivandrum,Thiruvananthapuram,Kerala
2016,Engineering,,,"College of Engineering, Cherthala",Cherthala,Kerala
2016,Engineering,,,"COLLEGE OF ENGINEERING, PATHANAPURAM",Punalur,Kerala
2016,Engineering,,,"College of Engineering, Pune",Pune,Maharashtra
2016,Engineering,,,"College of Engineering, Vadakara",Kozhikode,Kerala
2016,Engineering,,,College of Technology and Engineering,Udaipur,Rajasthan
2016,Engineering,,,Coorg Institute of Technology,Ponnampet,Karnataka
2016,Engineering,,,CVR College of Engineering,Ibrahimpatan,Telangana
2016,Engineering,,,D Y PATIL EDUCATION SOCIETY'S D Y PAIL TECHNICAL CAMPUS FACULTY OF ENGINEERING AND FACULTY OF MANAGEMENT TALSANDE KOLHAPUR,Talsande,Maharashtra
2016,Engineering,,,D. Y. Patil College of Engineering & Technology,Kolhapur,Maharashtra
2016,Engineering,,,D.K.T.E. Society's Textile & Engineering Institute,Ichalkaranji,Maharashtra
2016,Engineering,,,D.Y.Patil College of Engineering,Pune,Maharashtra
2016,Engineering,,,Dadi Institute of Engineering & Technology (Diet),Anakapalle,Andhra Pradesh
2016,Engineering,,,Daita Madhusudana Sastry Sri Venkateswara Hindu College of Engineering,Machilipatnam,Andhra Pradesh
2016,Engineering,,,Datta Meghe College of Engineering,Navi Mumbai,Maharashtra
2016,Engineering,,,Datta Meghe Institute of Engineering Technology and Research,Wardha,Maharashtra
